Column Name,Data Type,Units,Description
topic,object,,Topic Name
time,int64,Nano-seconds,Unix Time Stamp
size,int64,bytes,Message size
msg_type,object,,
steeringRate,float64,,
gearLocation,object,,Gear Status (GEAR_DRIVE)
_id.$oid,object,,ROS Metadata
metadataID.$oid,object,,ROS Metadata
header.timestampSec,float64,seconds,Unix Time Stamp
header.moduleName,object,,Topic Module name
header.sequenceNum,float64,,Message update number
engageAdvice.advice,object,,Availability of Autonomous control (READY_TO_ENGAGE)
engineStarted,Boolean,,Is Engine started (True = Engine started/ False = Engine off) 
speedMps,float64,,
fuelRangeM,float64,,
throttlePercentage,float64,,Percentage of throttle (0%-100%)
brakePercentage,float64,,Percentage of brake (0%-100%)
steeringPercentage,float64,,Percentage of steering wheel turn (0 represents straight/ 360 is one rotation/ counter clockwise is positive)
drivingMode,object,,Current Driving mode (COMPLETE_MANUAL/ COMPLETE_AUTO_DRIVE)
errorCode,object,,Displays error code
yawRate,float64,,
signal.turnSignal,object,,Turn signal usage (TURN_NONE/ TURN_RIGHT/ TURN_LEFT)
wheelSpeed.isWheelSpdRrValid,Boolean,,Rear Right wheel
wheelSpeed.wheelSpdRr,float64,,Rear Right wheel
wheelSpeed.isWheelSpdRlValid,Boolean,,Rear Left wheel
wheelSpeed.wheelSpdRl,float64,,Rear Left wheel
wheelSpeed.isWheelSpdFrValid,Boolean,,Front Right wheel
wheelSpeed.wheelSpdFr,float64,,Front Right wheel
wheelSpeed.isWheelSpdFlValid,Boolean,,Front Left wheel
wheelSpeed.wheelSpdFl,float64,,Front Left wheel
