Column Name,Data Type,Units,Description
topic,object,,Topic name
time,int64,Nano-seconds,Unix Time Stamp
size,int64,Bytes,Message size
msg_type,object,,
_id.$oid,object,,ROS Metadata
metadataID.$oid,object,,ROS Metadata
header.timestampSec,float64,seconds,Unix Time Stamp
header.moduleName,object,,Topic Module name
header.sequenceNum,float64,,message update number
pacifica.steeringRpt1f03.steeringAngleActual,float64,Percentage,Percentage turn of the steering wheel (0 represents straight/ 360 is one rotation/ counter clockwise is positive)
pacifica.steeringRpt1f03.steeringAngleDesired,float64,Percentage,Control desired percentage
pacifica.steeringRpt1f03.steeringWhlPcntTrqCmd,float64,,
pacifica.steeringRpt1f03.controlType,object,,
pacifica.steeringRpt1f03.enabled,Boolean,,
pacifica.steeringRpt1f03.driverActivity,Boolean,,Is the driver interacting with the steering wheel (True = yes/ False = no)
pacifica.steeringRpt1f03.fault,Boolean,,
pacifica.steeringRpt1f03.overheatPreventionMode,Boolean,,
pacifica.steeringRpt1f03.overheatWarning,Boolean,,
pacifica.steeringRpt1f03.rollingCounter,float64,,
pacifica.otherActuatorsRpt1f14.turnSignalRpt,object,,Turn signal status (TURN_SIGNAL_OFF/ TURN_SIGNAL_RIGHT/ TURN_SIGNAL_LEFT)
pacifica.otherActuatorsRpt1f14.rightRearDoorRpt,object,,Rear Passenger side door status (REAR_DOOR_CLOSE_DOOR)
pacifica.otherActuatorsRpt1f14.leftRearDoorRpt,object,,Rear Driver side door status (REAR_DOOR_CLOSE_DOOR)
pacifica.otherActuatorsRpt1f14.hornRpt,object,,Horn Status (Off = HORN_SNA)
pacifica.otherActuatorsRpt1f14.frontWiperRpt,object,,Front Windshield Wiper Status (Off = FRONT_WIPER_OFF)
pacifica.otherActuatorsRpt1f14.rearWiperRpt,object,,Rear Windshield Wiper Status (Off = REAR_WIPER_OFF)
pacifica.otherActuatorsRpt1f14.ignitionRpt,object,,Ignition Status (On = IGNITION_RUN)
pacifica.otherActuatorsRpt1f14.highBeamRpt,object,,
pacifica.otherActuatorsRpt1f14.lowBeamRpt,object,,
pacifica.otherActuatorsRpt1f14.liftgateRpt,object,,
pacifica.otherActuatorsRpt1f14.rollingCounterRpt,float64,,
pacifica.driverInputs1f0f.doorOrHoodAjar,Boolean,,Door or hood open (True = Door or Hood open/ False = Door and Hood closed) 
pacifica.driverInputs1f0f.airbagDeployed,Boolean,,airbag is deployed (True = Airbag deployed/ False = Airbag not deployed) 
pacifica.driverInputs1f0f.seatbeltUnbuckled,Boolean,,driver seatbelt is unbuckled (True = unbuckled/ False = buckled)
pacifica.driverInputs1f0f.cruiseResumeBtn,Boolean,,Cruise control resume button press (True = Button pressed/ False = Button not pressed)
pacifica.driverInputs1f0f.cruiseCancelBtn,Boolean,,Cruise control cancel button press (True = Button pressed/ False = Button not pressed)
pacifica.driverInputs1f0f.cruiseAccelBtn,Boolean,,Cruise control accelerate button press (True = Button pressed/ False = Button not pressed)
pacifica.driverInputs1f0f.cruiseDecelBtn,Boolean,,Cruise control decelerate button press (True = Button pressed/ False = Button not pressed)
pacifica.driverInputs1f0f.cruiseOnOffBtn,Boolean,,Cruise control on/off button press (True = Button pressed/ False = Button not pressed)
pacifica.driverInputs1f0f.accOnOffBtn,Boolean,,
pacifica.driverInputs1f0f.accIncDistanceBtn,Boolean,,
pacifica.driverInputs1f0f.accDecDistanceBtn,Boolean,,
pacifica.driverInputs1f0f.inputHighBeam,object,,Driver Input to High Beams
pacifica.driverInputs1f0f.inputTurnSignal,object,,Driver Input to Turn Signal (TURN_SIGNAL_OFF/ TURN_SIGNAL_RIGHT/ TURN_SIGNAL_LEFT)
pacifica.driverInputs1f0f.inputWiperBtn,object,,Driver Input to Front Wipers (Off = FRONT_WIPER_OFF)
pacifica.wheelSpeedRpt1f0b.wheelSpdRearRight,float64,,Rear Right wheel speed
pacifica.wheelSpeedRpt1f0b.wheelSpdRearLeft,float64,,Rear Left wheel speed
pacifica.wheelSpeedRpt1f0b.wheelSpdFrontRight,float64,,Front Right wheel speed
pacifica.wheelSpeedRpt1f0b.wheelSpdFrontLeft,float64,,Front Left wheel speed
pacifica.accelRpt1f02.pedalInput,float64,Percentage,Driver Input to Acceleration Pedal (0% - 100%)
pacifica.accelRpt1f02.pedalOutput,float64,Percentage,Vehicle Acceleration Pedal output (0% - 100%)
pacifica.accelRpt1f02.enabled,Boolean,,Acceleration pedal status (True = Engaged/ False = Disengaged)
pacifica.accelRpt1f02.ignoreDriver,Boolean,,Does the vehicle accept acceleration pedal inputs from the driver (True = Ignore driver inputs/ False = Accept driver inputs)
pacifica.accelRpt1f02.driverActivity,Boolean,,Is the driver interacting with the acceleration pedal (True = Yes/ False = No)
pacifica.accelRpt1f02.faultAccelPedalSystem,Boolean,,
pacifica.accelRpt1f02.faultCh1,Boolean,,
pacifica.accelRpt1f02.faultCh2,Boolean,,
pacifica.accelRpt1f02.torqueActual,float64,,
pacifica.accelRpt1f02.controlType,object,,
pacifica.brakeRpt1f04.pedalInput,float64,Percentage,Driver Input to Brake Pedal (0% - 100%)
pacifica.brakeRpt1f04.pedalOutput,float64,Percentage,Vehicle Brake Pedal output (0% - 100%)
pacifica.brakeRpt1f04.enabled,Boolean,,Brake pedal status (True = Engaged/ False = Disengaged)
pacifica.brakeRpt1f04.driverActivity,Boolean,,Is the driver interacting with the brake pedal (True = Yes/ False = No)
pacifica.brakeRpt1f04.faultBrakePedalSystem,Boolean,,
pacifica.brakeRpt1f04.faultCh1,Boolean,,
pacifica.brakeRpt1f04.faultCh2,Boolean,,
pacifica.brakeRpt1f04.torqueActual,float64,,
pacifica.brakeRpt1f04.brakeInterventionActive,Boolean,,
pacifica.brakeRpt1f04.brakeInterventionReady,Boolean,,
pacifica.brakeRpt1f04.controlType,object,,
