Column Name,Data Type,Units,Description
topic,object,,Topic name
time,int64,nano-seconds,Unix Time stamp
size,int64,Bytes,Message Size
msg_type,object,,
throttle,float64,,
brake,float64,,
gearLocation,object,,Vehicle State (GEAR_DRIVE)
_id.$oid,object,,ROS Metadata
metadataID.$oid,object,,ROS Metadata
header.timestampSec,float64,seconds,Unix Time stamp
header.moduleName,object,,Module name
header.sequenceNum,float64,,message update number
header.lidarTimestamp,object,nano-seconds,LiDAR Unix Time stamp
header.cameraTimestamp,object,nano-seconds,Camera Unix Time stamp
header.radarTimestamp,object,nano-seconds,RADAR Unix Time stamp
header.status.errorCode,object,,
latencyStats.totalTimeMs,float64,,
latencyStats.totalTimeExceeded,Boolean,,
padMsg.header.timestampSec,float64,seconds,Pad Unix Time stamp
padMsg.header.moduleName,object,,Pad Module name
padMsg.header.sequenceNum,float64,,Pad message update number
padMsg.action,object,,
engageAdvice.advice,object,,Apollo’s autonomous mode advice (READY_TO_ENGAGE/ DISALLOW_ENGAGE)
