Column Name,Data Type,Units,Description
topic,object,,Topic Name
time,int64,nano-seconds,Unix Time stamp
size,int64,Bytes,Message size
msg_type,object,,
_id.$oid,object,,ROS Metadata
metadataID.$oid,object,,ROS Metadata
header.timestampSec,float64,seconds,Unix Time stamp
header.moduleName,object,,Module Name
header.sequenceNum,float64,,Message update number
modes,object,,Vehicle modes (Debug/ Navigation/ RTK/ etc)
currentMode,object,,Current Vehicle mode
maps,object,,Available maps in directory
currentMap,object,,Current map
vehicles,object,,list of vehicles
currentVehicle,object,,Current vehicle
dockerImage,object,,Docker Image path
utmZoneId,float64,,UTM zone
modules.GPS,Boolean,,GPS status (True/ False)
modules.Radar,Boolean,,RADAR status (True/ False)
modules.Localization,Boolean,,Localization status (True/ False)
modules.Canbus,Boolean,,Canbus status (True/ False)
modules.Traffic Light,Boolean,,Traffic light status (True/ False)
modules.Control,Boolean,,Control status (True/ False)
modules.Camera,Boolean,,Camera status (True/ False)
modules.Planning,Boolean,,Planning status (True/ False)
modules.Transform,Boolean,,Transform status (True/ False)
modules.Routing,Boolean,,Routing status (True/ False)
monitoredComponents.ESD-CAN.status,object,,
monitoredComponents.ESD-CAN.message,object,,
monitoredComponents.Localization.status,object,,
monitoredComponents.GPS.status,object,,
monitoredComponents.GPS.message,object,,
