Column Name,Data Type,Units,Description
topic,object,,Topic name
time,int64,nano-seconds,Unix Time stamp
size,int64,Bytes,Message size
msg_type,object,,
_id.$oid,object,,ROS Metadata
metadataID.$oid,object,,ROS Metadata
header.timestampSec,float64,seconds,Unix Time stamp
header.moduleName,object,,Module name
header.sequenceNum,float64,,Message update number
hmiModules.Canbus.status,object,,Canbus module status (OK/ FATAL)
hmiModules.Canbus.message,object,,
hmiModules.Routing.status,object,,Routing module status (OK/ FATAL)
hmiModules.Routing.message,object,,
hmiModules.Localization.status,object,,Localization module status (OK/ FATAL)
hmiModules.Localization.message,object,,
hmiModules.Traffic Light.status,object,,Traffic Light module status (OK/ FATAL)
hmiModules.Traffic Light.message,object,,
hmiModules.Transform.status,object,,Transform module status (OK/ FATAL)
hmiModules.Transform.message,object,,
hmiModules.Planning.status,object,,Planning module status (OK/ FATAL)
hmiModules.Planning.message,object,,
hmiModules.Control.status,object,,Control module status (OK/ FATAL)
hmiModules.Control.message,object,,
hmiModules.Camera.status,object,,Camera sensor status (OK/ FATAL)
hmiModules.Camera.message,object,,
hmiModules.GPS.status,object,,GPS status (OK/ FATAL)
hmiModules.GPS.message,object,,
hmiModules.Radar.status,object,,RADAR sensor status (OK/ FATAL)
components.Localization.summary.status,object,,
components.Localization.otherStatus.status,object,,
components.GPS.summary.status,object,,
components.GPS.summary.message,object,,
components.GPS.processStatus.status,object,,
components.GPS.processStatus.message,object,,
components.GPS.otherStatus.status,object,,
components.ESD-CAN.summary.status,object,,
components.ESD-CAN.summary.message,object,,
components.ESD-CAN.otherStatus.status,object,,
components.ESD-CAN.otherStatus.message,object,,
