Column Name,Data Type,Units,Description,First Value
topic,object,,Topic name,/apollo/routing_request
time,int64,nano-seconds,Unix Time stamp,1.71398065644362E+018
size,int64,,,138
msg_type,object,,,
_id.$oid,object,,ROS Metadata,66310ffd7ae1f4a1c6c6e949
metadataID.$oid,object,,ROS Metadata,66310ffc7ae1f4a1c6c6e856
header.timestampSec,float64,seconds,Unix Time stamp,1713980371.4413
header.moduleName,object,,Module name,dreamview
header.sequenceNum,float64,,Message update number,0
waypoint,object,,Routing waypoint dictionary (contains x and y coordinates),"[{'id': '3_0_1', 's': 40.92904926361773, 'pose': {'x': 404285.88449087425, 'y': 4352959.312298862}}, {'id': '3_0_1', 's': 54.138244150779244, 'pose': {'x': 404298.7096827615, 'y': 4352956.285234241}}, {'id': '3_0_1', 's': 33.09316656666638, 'pose': {'x': 404278.55580898817, 'y': 4352962.100385022}}]"
