Column Name,Data Type,Units,Description,First Value
topic,object,,Topic name,/apollo/routing_response
time,int64,nano-seconds,Unix Time stamp,1.71398065611617E+018
size,int64,,,617
msg_type,object,,,
_id.$oid,object,,ROS Metadata,66310ffc7ae1f4a1c6c6e8b3
metadataID.$oid,object,,ROS Metadata,66310ffc7ae1f4a1c6c6e856
header.timestampSec,float64,seconds,Unix Time stamp,1713980371.44211
header.moduleName,object,,Module name,routing
header.sequenceNum,float64,,Message update number,0
road,object,,Road dictionary (contains lane information),"[{'id': '3', 'passage': [{'segment': [{'id': '3_0_1', 'startS': 40.92904926361773, 'endS': 316.696}], 'canExit': True, 'changeLaneType': 'FORWARD'}]}, {'id': '35', 'passage': [{'segment': [{'id': '35_0_1', 'startS': 0.0, 'endS': 20.6395}], 'canExit': True, 'changeLaneType': 'FORWARD'}]}, {'id': '2', 'passage': [{'segment': [{'id': '2_0_1', 'startS': 0.0, 'endS': 75.578}], 'canExit': True, 'changeLaneType': 'FORWARD'}]}, {'id': '31', 'passage': [{'segment': [{'id': '31_0_1', 'startS': 0.0, 'endS': 14.371}], 'canExit': True, 'changeLaneType': 'FORWARD'}]}, {'id': '1', 'passage': [{'segment': [{'id': '1_0_1', 'startS': 0.0, 'endS': 13.2042}], 'canExit': True, 'changeLaneType': 'FORWARD'}]}, {'id': '6', 'passage': [{'segment': [{'id': '6_0_1', 'startS': 0.0, 'endS': 23.2043}], 'canExit': True, 'changeLaneType': 'FORWARD'}]}, {'id': '5', 'passage': [{'segment': [{'id': '5_0_1', 'startS': 0.0, 'endS': 395.41}], 'canExit': True, 'changeLaneType': 'FORWARD'}]}, {'id': '27', 'passage': [{'segment': [{'id': '27_0_1', 'startS': 0.0, 'endS': 21.3255}], 'canExit': True, 'changeLaneType': 'FORWARD'}]}, {'id': '4', 'passage': [{'segment': [{'id': '4_0_1', 'startS': 0.0, 'endS': 7.14615}], 'canExit': True, 'changeLaneType': 'FORWARD'}]}, {'id': '39', 'passage': [{'segment': [{'id': '39_0_1', 'startS': 0.0, 'endS': 6.17818}], 'canExit': True, 'changeLaneType': 'FORWARD'}]}, {'id': '3', 'passage': [{'segment': [{'id': '3_0_1', 'startS': 0.0, 'endS': 33.09316656666638}], 'canExit': True, 'changeLaneType': 'FORWARD'}]}]"
mapVersion,object,,Version of routing map,MQ==
measurement.distance,float64,,,885.916947303049
routingRequest.header.timestampSec,float64,seconds,Routing request time stamp,1713980371.4413
routingRequest.header.moduleName,object,,Routing module name,dreamview
routingRequest.header.sequenceNum,float64,,Routing request update number,0
routingRequest.waypoint,object,,Routing way point dictionary (contains x and y coordinates of waypoints),"[{'id': '3_0_1', 's': 40.92904926361773, 'pose': {'x': 404285.88449087425, 'y': 4352959.312298862}}, {'id': '3_0_1', 's': 54.138244150779244, 'pose': {'x': 404298.7096827615, 'y': 4352956.285234241}}, {'id': '3_0_1', 's': 33.09316656666638, 'pose': {'x': 404278.55580898817, 'y': 4352962.100385022}}]"
status.errorCode,object,,Routing error code,OK
status.msg,object,,Routing request status,Success!
