Column Name,Data Type,Units,Description
topic,object,,Topic name
time,int64,nano-seconds,Unix time stamp
size,int64,Bytes,Message size
msg_type,object,,
_id.$oid,object,,ROS Metadata
metadataID.$oid,object,,ROS Metadata
header.timestampSec,float64,seconds,Unix time stamp
header.moduleName,object,,Module name
header.sequenceNum,float64,,Message update number
road,object,,Road dictionary (contains lane information)
mapVersion,object,,Version of routing map
measurement.distance,float64,,
routingRequest.header.timestampSec,float64,seconds,Routing request time stamp
routingRequest.header.moduleName,object,,Routing module name
routingRequest.header.sequenceNum,float64,,Routing request update number
routingRequest.waypoint,object,,Routing way point dictionary (contains x and y coordinates of waypoints)
status.errorCode,object,,Routing error code
status.msg,object,,Routing request status
