Column Name,Data Type,Units,Description
topic,object,,Topic name
time,int64,nano-seconds,Unix Time stamp
size,int64,Bytes,Message size
msg_type,object,,
_id.$oid,object,,ROS Metadata
metadataID.$oid,object,,ROS Metadata
header.timestampSec,float64,seconds,Unix Time stamp
header.moduleName,object,,Module name
header.sequenceNum,float64,,Message update number
measurementTime,float64,,Epoch Time
solStatus,object,,Solution status (SOL_COMPUTED/ INSUFFICIENT_OBS/ NO_CONVERGENCE/ SINGULARITY/ COV_TRACE/ TEST_DIST/ COLD_START/ V_H_LIMIT/ VARIANCE/ RESIDUALS/ INTEGRITY_WARNING
solType,object,,Solution type (SINGLE/ PSRDIFF/ WAAS/ PROPAGATED/ L1_FLOAT/ NARROW_FLOAT/ L1_INT/ NARROW_INT/ WIDE_INT/ RTK_DIRECT_INS)
latitude,float64,degrees,GNSS computed latitude
longitude,float64,degrees,GNSS computed longitude
heightMsl,float64,meters,Height from mean sea level
undulation,float64,,relationship between the geoid and the ellipsoid of the chosen datum
datumId,object,,Datum used (WGS84 or USER)
latitudeStdDev,float64,meters,Standard deviation in Latitude
longitudeStdDev,float64,meters,Standard deviation in Longitude
heightStdDev,float64,meters,Standard deviation in height
baseStationId,object,,Base station ID
differentialAge,float64,seconds,Differential age
solutionAge,float64,seconds,Solution age
numSatsTracked,float64,,Number of satellites tracked
numSatsInSolution,float64,,Number of satellites in solution
numSatsL1,float64,,Number of satellites with L1/E1/B1 signals used in solution
numSatsMulti,float64,,Number of satellites with multi-frequency signals used in solution
extendedSolutionStatus,float64,,
galileoBeidouUsedMask,float64,,
gpsGlonassUsedMask,float64,,
