Column Name,Data Type,Units,Description
topic,object,,Topic name
time,int64,nano-seconds,Unix Time stamp
size,int64,Bytes,Message size
msg_type,object,,
_id.$oid,object,,ROS Metadata
metadataID.$oid,object,,ROS Metadata
header.timestampSec,float64,seconds,Unix Time stamp
imu.linearAcceleration.x,float64,,IMU Linear acceleration measurement (x component)
imu.linearAcceleration.y,float64,,IMU Linear acceleration measurement (y component)
imu.linearAcceleration.z,float64,,IMU Linear acceleration measurement (z component)
imu.angularVelocity.x,float64,,IMU Angular acceleration measurement (x component)
imu.angularVelocity.y,float64,,IMU Angular acceleration measurement (y component)
imu.angularVelocity.z,float64,,IMU Angular acceleration measurement (z component)
imu.eulerAngles.x,float64,,IMU Euler angle measurement (x component)
imu.eulerAngles.y,float64,,IMU Euler angle measurement (y component)
imu.eulerAngles.z,float64,,IMU Euler angle measurement (z component)
