Column Name,Data Type,Units,Description
topic,object,,Topic name
time,int64,nano-seconds,Unix Time stamp
size,int64,Bytes,Message size
msg_type,object,,
_id.$oid,object,,ROS Metadata
metadataID.$oid,object,,ROS Metadata
header.timestampSec,float64,seconds,Unix Time stamp
header.moduleName,object,,Module name
header.sequenceNum,float64,,Message update number
solutionCompleted,Boolean,,Is solution completed (True/ False)
solutionStatus,float64,,GNSS Solution status
positionType,float64,,Position type
numSats,float64,,Number of satellites in solution
