Column Name,Data Type,Units,Description,First Value
topic,object,,Topic name,/apollo/sensor/gnss/ins_status
time,int64,nano-seconds,Unix Time stamp,1.71398065790885E+018
size,int64,,,22
msg_type,object,,,
_id.$oid,object,,ROS Metadata,66310ffe7ae1f4a1c6c6ed57
metadataID.$oid,object,,ROS Metadata,66310ffc7ae1f4a1c6c6e856
header.timestampSec,float64,seconds,Unix Time stamp,1713980657.90245
header.moduleName,object,,Module name,gnss
header.sequenceNum,float64,,Message update number,365
type,object,,,GOOD
