Column Name,Data Type,Units,Description
topic,object,,Topic name
time,int64,nano-seconds,Unix Time stamp
size,int64,Bytes,Message size
msg_type,object,,
_id.$oid,object,,ROS Metadata
metadataID.$oid,object,,ROS Metadata
header.timestampSec,float64,seconds,Unix Time stamp
localization.position.x,float64,meters,Position (x)
localization.position.y,float64,meters,Position (y)
localization.position.z,float64,meters,Position (z)
localization.orientation.qx,float64,,Quaternion (x)
localization.orientation.qy,float64,,Quaternion (y)
localization.orientation.qz,float64,,Quaternion (z)
localization.orientation.qw,float64,,Quaternion (w)
localization.linearVelocity.x,float64,meters/second,Velocity (x)
localization.linearVelocity.y,float64,meters/second,Velocity (y)
localization.linearVelocity.z,float64,meters/second,Velocity (z)
